,0
1674,night sweat
1675,apyrexial
1676,lesion
1677,snuffle
1678,chill
1679,cough
1680,monoclonal
1681,hypocalcemia result
1682,oliguria
1683,rhd positive
1684,distress respiratory
1685,cyanosis
1686,tachypnea
1687,para 1
1688,bradycardia
1689,breech presentation
1690,cushingoid facies cushingoid habitus
1691,cough
1692,myalgia
1693,uncoordination
1694,fever
1695,pleuritic pain
1696,snuffle
1697,throat sore
1698,malaise
1699,debilitation
1700,symptom aggravating factors
1701,chill
1702,scleral icterus
1703,nasal flaring
1704,dysuria
1705,lip smacking
1706,headache
1707,sneeze
1708,snore
1709,green sputum
1710,shortness of breath
1711,distress respiratory
1712,blackout
1713,extreme exhaustion
1714,intoxication
1715,tremor
1716,agitation
1717,suicidal
1718,homelessness
1719,prostatism
1720,lethargy
1721,seizure
1722,muscle twitch
1723,stuffy nose
1724,feeling hopeless
1725,heavy legs
1726,rale
1727,hypokinesia
1728,anorexia
1729,hypertonicity
1730,shortness of breath
1731,hypoalbuminemia
1732,pruritus
1733,sore to touch
1734,hemodynamically stable
1735,facial paresis
1736,vomiting
1737,stool color yellow
1738,moan
1739,nausea
1740,pain abdominal
1741,Murphy's sign
1742,flatulence
1743,colic abdominal
1744,pain
1745,ascites
1746,diarrhea
1747,qt interval prolonged
1748,cardiovascular finding cardiovascular event
1749,groggy
1750,sinus rhythm
1751,gasping for breath
1752,constipation
1753,feces in rectum
1754,abnormally hard consistency
1755,pain abdominal
1756,fatigability
1757,prodrome
1758,vomiting
1759,nausea
1760,myalgia
1761,hyponatremia
1762,sore to touch
1763,general discomfort
1764,dyspnea on exertion
1765,asterixis
1766,guaiac positive
1767,numbness of hand
1768,headache
1769,photophobia
1770,ambidexterity
1771,vomiting
1772,dizziness
1773,numbness
1774,nausea
1775,fever
1776,splenomegaly
1777,hypoproteinemia
1778,fatigue
1779,haemorrhage
1780,fatigability
1781,cushingoid facies cushingoid habitus
1782,stool color yellow
1783,colic abdominal
1784,vomiting
1785,nausea
1786,pain abdominal
1787,pain
1788,cushingoid facies cushingoid habitus
1789,ascites
1790,thicken
1791,sore to touch
1792,diarrhea
1793,apyrexial
1794,palpitation
1795,left atrial hypertrophy
1796,sweat sweating increased
1797,alcohol binge episode
1798,pressure chest
1799,scar tissue
1800,cardiovascular finding cardiovascular event
1801,orthostasis
1802,shortness of breath
1803,t wave inverted
1804,vomiting
1805,pain abdominal
1806,abscess bacterial
1807,abdomen acute
1808,air fluid level
1809,catching breath
1810,abdominal tenderness
1811,nausea
1812,sore to touch
1813,flatulence
1814,diarrhea
1815,mass of body structure
1816,apyrexial
1817,constipation
1818,thicken
1819,gravida 0
1820,pain abdominal
1821,flatulence
1822,pain
1823,large-for-dates fetus
1824,para 1
1825,vomiting
1826,lung nodule
1827,breech presentation
1828,shortness of breath
1829,decreased body weight
1830,immobile
1831,unsteady gait
1832,hallucinations visual
1833,feeling suicidal
1834,loose associations
1835,giddy mood
1836,feeling hopeless
1837,agitation
1838,hallucinations auditory
1839,irritable mood
1840,sleeplessness
1841,neologism
1842,homicidal thoughts
1843,disturbed family
1844,worry
1845,decompensation
1846,verbally abusive behavior
1847,catatonia
1848,suicidal
1849,terrify
1850,blackout
1851,weepiness
1852,impaired cognition
1853,irritable mood
1854,agitation
1855,extreme exhaustion
1856,sleeplessness
1857,enuresis
1858,patient non compliance
1859,feeling hopeless
1860,hallucinations visual
1861,bedridden bedridden
1862,prostatism
1863,systolic murmur
1864,frail
1865,fever
